Valor;Tempo
0.008459226576170775;22/03/2021 01:30:21
0.02336622661033725;22/03/2021 01:30:31
0.045416008454738754;22/03/2021 01:30:41
0.07435522966624353;22/03/2021 01:30:51
0.10967031062132679;22/03/2021 01:31:01
0.15081187529551365;22/03/2021 01:31:11
0.1972937622577069;22/03/2021 01:31:21
0.24823080813714093;22/03/2021 01:31:31
0.30300397996947587;22/03/2021 01:31:41
0.3666436212625507;22/03/2021 01:31:51
0.4266347627723188;22/03/2021 01:32:01
0.4755274789508022;22/03/2021 01:32:11
0.5490085701647803;22/03/2021 01:32:21
0.5976051883034159;22/03/2021 01:32:31
0.6568988904819291;22/03/2021 01:32:41
0.7193191760665025;22/03/2021 01:32:51
0.7727135112669271;22/03/2021 01:33:01
0.8219622320316466;22/03/2021 01:33:11
0.8663271358362064;22/03/2021 01:33:21
0.9052639293876285;22/03/2021 01:33:31
0.9380350470977032;22/03/2021 01:33:41
0.9642530402366077;22/03/2021 01:33:51
0.9835031442253278;22/03/2021 01:34:01
0.99545131771389;22/03/2021 01:34:11
0.9996626980873017;22/03/2021 01:34:21
0.996239767299355;22/03/2021 01:34:31
0.985015626597272;22/03/2021 01:34:41
0.9686235269215046;22/03/2021 01:34:51
0.9409606321741775;22/03/2021 01:35:01
0.9157000941533953;22/03/2021 01:35:11
0.8785637789503635;22/03/2021 01:35:21
0.8357335121437761;22/03/2021 01:35:31
0.7878535008129272;22/03/2021 01:35:41
0.7302693554791201;22/03/2021 01:35:51
0.6741515691544994;22/03/2021 01:36:01
0.6155290541403357;22/03/2021 01:36:11
0.5551111036469416;22/03/2021 01:36:21
0.493802891645501;22/03/2021 01:36:31
0.432709645746437;22/03/2021 01:36:41
0.37256717019774277;22/03/2021 01:36:51
0.3143414030240813;22/03/2021 01:37:01
0.25890811396043867;22/03/2021 01:37:11
0.21204617650839086;22/03/2021 01:37:21
0.15522972763146659;22/03/2021 01:37:31
0.12135607272961725;22/03/2021 01:37:41
0.08423173396635948;22/03/2021 01:37:51
0.04800535343827844;22/03/2021 01:38:01
0.029208007119964557;22/03/2021 01:38:11
0.012136227104824017;22/03/2021 01:38:21
0.0024023723388853025;22/03/2021 01:38:31
3.4181838504572894E-4;22/03/2021 01:38:41
0.006349290921070783;22/03/2021 01:38:51
0.019802551489870535;22/03/2021 01:39:01
0.04044307415497106;22/03/2021 01:39:11
0.06801357193920671;22/03/2021 01:39:21
0.10211929688565013;22/03/2021 01:39:31
0.14213458735809048;22/03/2021 01:39:41
0.1923842047096863;22/03/2021 01:39:51
0.24294862790338906;22/03/2021 01:40:01
0.2973793429975048;22/03/2021 01:40:11
0.3432176224584153;22/03/2021 01:40:21
0.41451905561984914;22/03/2021 01:40:31
0.4632789604233469;22/03/2021 01:40:41
0.5245950793868897;22/03/2021 01:40:51
0.5855412654632902;22/03/2021 01:41:01
0.6452008312850922;22/03/2021 01:41:11
0.7082147800488185;22/03/2021 01:41:21
0.7623466796035935;22/03/2021 01:41:31
0.8124771742080616;22/03/2021 01:41:41
0.8578654126419093;22/03/2021 01:41:51
0.8979550030385509;22/03/2021 01:42:01
0.9319864280607933;22/03/2021 01:42:11
0.9595569258450289;22/03/2021 01:42:21
0.9802152597077829;22/03/2021 01:42:31
0.9945882549823906;22/03/2021 01:42:41
0.9993999865088138;22/03/2021 01:42:51
0.9975923633360985;22/03/2021 01:43:01
0.9903799323257034;22/03/2021 01:43:11
0.9747441300079933;22/03/2021 01:43:21
0.9466121505977576;22/03/2021 01:43:31
0.9223933227424856;22/03/2021 01:43:41
0.886465722664228;22/03/2021 01:43:51
0.8402550358472134;22/03/2021 01:44:01
0.7928487636115374;22/03/2021 01:44:11
0.7410918860395614;22/03/2021 01:44:21
0.6856013506916628;22/03/2021 01:44:31
0.6274328298022573;22/03/2021 01:44:41
0.5672903542535631;22/03/2021 01:44:51
0.5060744114514314;22/03/2021 01:45:01
